role_id,bidang,nama_role,deskripsi,skill,gaji
R020,F01,Cyber Security Analyst/Architect,"Cyber Security Analyst/Architect merancang strategi keamanan siber dan menganalisis ancaman untuk melindungi aset digital perusahaan dari serangan. Tanggung jawab hariannya mencakup pemantauan SIEM, penilaian kerentanan, pengujian penetrasi, serta perancangan arsitektur keamanan berlapis. Mereka memastikan kepatuhan terhadap regulasi keamanan dan merespons insiden siber secara cepat dan terstruktur.","SIEM, Cloud Security, AWS, Python, Intrusion Detection, Penetration Testing, Vulnerability Assessment, Firewalls, Incident Response, Compliance",Rp 8.000.000
R021,F01,Security Consultant,"Security Consultant memberikan saran dan rekomendasi strategis kepada organisasi dalam merancang dan meningkatkan postur keamanan siber mereka. Pekerjaan hariannya meliputi audit keamanan, penilaian risiko berdasarkan kerangka ISO 27001 dan NIST, serta penyusunan kebijakan dan prosedur keamanan. Mereka berperan sebagai mitra tepercaya yang membantu organisasi mengidentifikasi dan memitigasi risiko siber.","Risk Assessment, ISO 27001, NIST Framework, Penetration Testing, Python, Linux, Cloud Security, Compliance Auditing, Threat Modeling, SIEM",Rp 10.009.710
R022,F01,Ethical Hacker,"Ethical Hacker atau Penetration Tester secara sah mensimulasikan serangan siber terhadap sistem perusahaan untuk mengidentifikasi dan melaporkan kerentanan sebelum dieksploitasi pihak jahat. Kegiatan hariannya mencakup reconnaissance, eksploitasi kerentanan, pembuatan laporan teknis, serta pemberian rekomendasi perbaikan kepada tim keamanan. Kreativitas berpikir seperti penyerang adalah kompetensi inti yang membedakan seorang ethical hacker.","Penetration Testing, Bash Scripting, Python, Linux, Windows, Cryptography, Metasploit, Kali Linux, Burp Suite, Network Security",Rp 10.000.000
R023,F01,SOC Analyst,"SOC Analyst memantau, mendeteksi, dan merespons insiden keamanan siber secara real-time dari Security Operations Center. Aktivitas utamanya meliputi analisis log dari SIEM seperti Splunk, investigasi alert keamanan, manajemen tiket insiden, dan koordinasi respons dengan tim terkait. Kewaspadaan tinggi dan kemampuan analitis yang tajam sangat dibutuhkan dalam peran ini.","SIEM, Vulnerability Assessment, Incident Response, Network Security, Splunk, Threat Intelligence, Firewall Management, Log Analysis, IDS/IPS, Python",Rp 5.000.000
R024,F01,Information Security Specialist,"Information Security Specialist melindungi data dan sistem informasi organisasi dari ancaman internal maupun eksternal. Tugas hariannya mencakup manajemen kerentanan, analisis ancaman menggunakan Splunk dan QRadar, investigasi forensik digital, serta pengembangan kebijakan keamanan informasi. Mereka memastikan aset informasi perusahaan terlindungi sesuai standar keamanan industri.","Threat Intelligence, Splunk, QRadar, Vulnerability Management, Incident Response, Python, SIEM, Malware Analysis, Forensics, MITRE ATT&CK",Rp 9.047.197
R025,F01,Cyber Defense,"Cyber Defense Analyst memfokuskan dirinya pada perlindungan aktif infrastruktur digital dari serangan siber yang terus berkembang. Kegiatan hariannya meliputi analisis ancaman siber, konfigurasi sistem deteksi intrusi, pemantauan jaringan secara proaktif, dan respons terhadap insiden keamanan. Mereka menjadi benteng pertama dalam menjaga kelangsungan operasional sistem dari serangan berbahaya.","Threat Analysis, SIEM, Network Defense, Python, Firewall Configuration, Intrusion Detection, Vulnerability Scanning, Incident Response, IDS/IPS, Cyber Threat Intelligence",Rp 8.000.000
R026,F01,Solution Architect,"Solution Architect merancang solusi teknis end-to-end yang selaras dengan kebutuhan bisnis, memastikan skalabilitas, keamanan, dan efisiensi sistem. Peran ini mencakup evaluasi teknologi, perancangan arsitektur microservices atau cloud-native, serta panduan implementasi bagi tim engineering. Mereka berkolaborasi erat dengan pemangku kepentingan bisnis untuk menerjemahkan kebutuhan strategis menjadi blueprint teknis yang dapat dieksekusi.","AWS, Azure, Kubernetes, Python, Java, CI/CD, Microservices, Solution Design, Terraform, Enterprise Architecture",Rp 18.015.072
R027,F02,Data Analyst,"Data Analyst mengumpulkan, memproses, dan menganalisis data untuk menghasilkan wawasan bisnis yang mendukung pengambilan keputusan. Pekerjaan sehari-hari meliputi kueri SQL, pembuatan dashboard visualisasi di Tableau atau Power BI, serta penyajian temuan kepada pemangku kepentingan. Mereka menjadi jembatan antara data mentah dan strategi bisnis yang berbasis data.","SQL, Tableau, Python, Power BI, Apache Spark, Hadoop, R, Excel, Data Visualization, Statistical Analysis",Rp 6.243.162
R028,F02,Data Scientist,"Data Scientist mengeksplorasi data berskala besar untuk menemukan pola tersembunyi, membangun model prediktif, dan memberikan rekomendasi berbasis data kepada bisnis. Aktivitas hariannya mencakup pengolahan data, feature engineering, pelatihan model machine learning, dan evaluasi performa model. Perpaduan antara kemampuan statistik, pemrograman, dan pemahaman bisnis menjadikan Data Scientist peran yang sangat strategis.","Python, SQL, Machine Learning, Tableau, Hadoop, Scikit-learn, R, TensorFlow, Statistical Modeling, Data Visualization",Rp 13.529.944
R029,F02,Machine Learning Engineer,"Machine Learning Engineer membangun, melatih, dan menerapkan model machine learning ke dalam lingkungan produksi yang skalabel dan andal. Tanggung jawab utamanya meliputi pengembangan pipeline data, optimasi model, pengelolaan eksperimen dengan MLflow, dan kolaborasi dengan tim data science untuk deployment. Mereka memastikan model yang dikembangkan dapat beroperasi secara efisien dalam skala nyata.","Python, Machine Learning, Feature Engineering, TensorFlow, PyTorch, Scikit-learn, SQL, MLflow, Java, Model Deployment",Rp 10.000.000
R030,F02,AI Engineer,"AI Engineer merancang dan mengimplementasikan sistem kecerdasan buatan, termasuk model deep learning dan large language model, untuk memecahkan masalah bisnis yang kompleks. Kegiatan hariannya mencakup fine-tuning model AI, pengembangan infrastruktur MLOps, dan integrasi solusi AI ke dalam produk atau layanan. Peran ini berada di garis terdepan inovasi teknologi yang mengubah cara industri beroperasi.","Python, TensorFlow, PyTorch, Scikit-learn, C++, Java, LLMs, Model Fine-tuning, MLOps, Deep Learning",Rp 13.878.761
R031,F02,Business Intelligence Analyst,"Business Intelligence Analyst mengubah data bisnis menjadi laporan dan dashboard interaktif yang membantu manajemen membuat keputusan strategis berdasarkan fakta. Pekerjaan hariannya meliputi pengembangan laporan di Power BI atau Tableau, pengelolaan data warehouse, desain KPI, dan analisis tren bisnis. Mereka memastikan data yang tepat tersedia bagi pemimpin bisnis pada waktu yang dibutuhkan.","SQL, Power BI, Tableau, ETL, KPI Reporting, Data Modeling, DAX, SSRS, Excel, Data Warehousing",Rp 6.828.398
R032,F02,Data Engineer,"Data Engineer membangun dan memelihara infrastruktur pipeline data yang memungkinkan data mengalir dari berbagai sumber ke sistem penyimpanan dan analitik secara efisien. Tugas hariannya mencakup pengembangan ETL/ELT pipeline menggunakan Spark dan Airflow, manajemen data warehouse, serta orkestrasi data di cloud. Mereka adalah tulang punggung ekosistem data yang mendukung seluruh fungsi analitik perusahaan.","Python, SQL, Apache Spark, Airflow, MongoDB, Hadoop, AWS, Scala, Kafka, dbt",Rp 9.796.166
R033,F02,Product Analyst,"Product Analyst menganalisis perilaku pengguna dan performa produk untuk menghasilkan wawasan yang mendorong peningkatan fitur dan pengalaman pengguna. Aktivitas hariannya mencakup analisis funnel, A/B testing, pembuatan dashboard dengan Mixpanel atau Amplitude, serta kolaborasi dengan Product Manager dan tim engineering. Mereka membantu perusahaan membuat keputusan produk yang didukung oleh data nyata.","SQL, Product Analytics, A/B Testing, Tableau, Python, Mixpanel, Amplitude, Excel, Data Visualization, Funnel Analysis",Rp 15.792.343
R034,F02,Big Data Engineer,"Big Data Engineer membangun dan mengoptimalkan infrastruktur pemrosesan data berskala masif menggunakan teknologi seperti Apache Spark, Hadoop, dan Kafka. Tanggung jawab hariannya meliputi perancangan arsitektur data pipeline, optimasi query di Hive, pengelolaan cluster, dan memastikan data tersedia secara andal untuk analitik skala besar. Mereka menangani tantangan volume, velocity, dan variety data yang tidak dapat ditangani sistem konvensional.","Apache Spark, Hadoop, SQL, Scala, Python, Java, Kafka, Hive, HBase, MapReduce",Rp 9.796.166
R035,F02,Analytics Engineer,"Analytics Engineer menghubungkan dunia data engineering dan data analytics dengan membangun lapisan transformasi data yang bersih dan siap analisis menggunakan alat seperti dbt dan Snowflake. Pekerjaan hariannya mencakup perancangan model data, penulisan transformasi SQL, pengujian kualitas data, dan dokumentasi pipeline. Mereka memastikan seluruh tim analitik memiliki akses ke data yang terstruktur, terpercaya, dan mudah digunakan.","dbt, SQL, Python, Airflow, Spark, Data Modeling, Snowflake, BigQuery, Git, Data Warehouse Design",Rp 8.000.000
R036,F02,Deep Learning Engineer,"Deep Learning Engineer mengkhususkan diri dalam membangun dan melatih jaringan saraf tiruan yang kompleks untuk memecahkan masalah seperti pengenalan gambar, suara, dan teks. Kegiatan hariannya mencakup desain arsitektur model deep learning menggunakan PyTorch atau TensorFlow, optimasi GPU, dan eksperimen dengan dataset berskala besar. Mereka mendorong batas kemampuan AI melalui riset terapan dan implementasi inovatif.","Python, TensorFlow, PyTorch, Keras, Deep Neural Networks, CNNs, RNNs, GPU Computing, CUDA, Hugging Face",Rp 13.878.761
R037,F02,NLP Engineer (Natural Language Processing),"NLP Engineer membangun sistem pemrosesan bahasa alami yang memungkinkan mesin memahami, menafsirkan, dan menghasilkan teks bahasa manusia. Tanggung jawab hariannya meliputi pengembangan model text classification, named entity recognition, dan sistem tanya-jawab menggunakan framework seperti Hugging Face Transformers dan BERT. Mereka menggabungkan linguistik komputasi dengan machine learning untuk menciptakan aplikasi AI yang komunikatif.","Python, NLTK, spaCy, Hugging Face Transformers, BERT, GPT, Text Classification, Named Entity Recognition, SQL, TensorFlow",Rp 10.000.000
R038,F02,Computer Vision Engineer,"Computer Vision Engineer membangun sistem yang memungkinkan komputer menginterpretasikan dan memahami informasi visual dari gambar maupun video. Aktivitas sehari-hari mencakup pengembangan model deteksi objek dan segmentasi gambar menggunakan YOLO dan OpenCV, pelatihan model CNN, serta optimasi inferensi di perangkat edge. Peran ini sangat relevan dalam industri manufaktur, otomotif, kesehatan, dan keamanan.","Python, OpenCV, TensorFlow, PyTorch, CNNs, Image Segmentation, Object Detection, YOLO, CUDA, Scikit-learn",Rp 8.700.000
R039,F02,AI Prompt Engineer,"AI Prompt Engineer merancang, mengoptimalkan, dan menguji prompt untuk mengarahkan model bahasa besar (LLM) agar menghasilkan output yang akurat, relevan, dan sesuai konteks. Pekerjaan hariannya meliputi eksperimen teknik prompting seperti Chain-of-Thought dan RAG, pengembangan sistem berbasis LangChain, serta evaluasi performa model AI secara sistematis. Peran ini muncul sebagai profesi kritis seiring adopsi masif generative AI di berbagai industri.","Prompt Engineering, LLMs, Python, Hugging Face, NLP, LangChain, GPT-4, RAG, Fine-tuning, Vector Databases",Rp 7.000.000
R040,F02,Data Modeler,"Data Modeler merancang dan mendokumentasikan struktur logis dan fisik basis data yang mendukung penyimpanan, pengambilan, dan analisis data secara efisien. Kegiatan hariannya mencakup pembuatan Entity Relationship Diagram (ERD), normalisasi skema, perancangan data vault, serta kolaborasi dengan tim engineering dan analitik. Mereka memastikan fondasi data perusahaan terstruktur dengan baik untuk kebutuhan saat ini dan masa depan.","SQL, Data Modeling, ERD Design, Normalization, NoSQL, dbt, Snowflake, Data Vault, Python, Metadata Management",Rp 27.264.928
R041,F02,Data Architect,"Data Architect merancang arsitektur data enterprise yang komprehensif, mencakup data warehouse, data lake, dan pipeline integrasi untuk mendukung kebutuhan analitik bisnis. Tanggung jawab utamanya meliputi penentuan standar data, desain skema data warehouse di Snowflake atau BigQuery, dan penyusunan roadmap transformasi data. Mereka memimpin strategi data jangka panjang organisasi agar selaras dengan tujuan bisnis.","SQL, Apache Spark, Scala, Python, MongoDB, Hadoop, Data Warehouse Design, Kafka, Cloud Architecture, dbt",Rp 10.000.000
R042,F02,Database Developer,"Database Developer merancang, mengimplementasikan, dan mengoptimalkan basis data relasional menggunakan SQL, T-SQL, dan PL/SQL untuk mendukung aplikasi bisnis. Pekerjaan hariannya mencakup penulisan stored procedure, desain skema database, tuning performa query, dan pembuatan index yang efisien. Mereka memastikan data tersimpan dengan aman, konsisten, dan dapat diakses dengan cepat oleh aplikasi.","SQL, T-SQL, PL/SQL, Stored Procedures, PostgreSQL, MySQL, Performance Tuning, Indexing, Data Modeling, Database Design",Rp 8.442.055
R043,F02,Database Administrator (DBA),"Database Administrator (DBA) bertanggung jawab atas instalasi, konfigurasi, pemantauan, dan pemeliharaan sistem manajemen basis data seperti Oracle, PostgreSQL, dan MySQL. Tugas hariannya meliputi manajemen backup dan recovery, optimasi performa, pengelolaan replikasi, serta penjagaan keamanan dan integritas data. Mereka memastikan database tersedia 24/7 dan beroperasi pada performa puncaknya untuk mendukung operasional bisnis.","SQL, Oracle, Database Recovery, Backup Management, Performance Tuning, PostgreSQL, MySQL, Replication, Data Guard, Index Optimization",Rp 8.610.698
R044,F03,UI Designer,"UI Designer bertanggung jawab atas tampilan visual antarmuka produk digital, memastikan setiap elemen desain estetis, konsisten, dan selaras dengan panduan merek. Kegiatan hariannya mencakup pembuatan wireframe, prototipe interaktif di Figma atau Adobe XD, pengembangan design system, dan kolaborasi dengan developer untuk implementasi yang akurat. Mereka menjembatani estetika visual dengan kebutuhan fungsional pengguna.","Figma, Adobe XD, Sketch, Prototyping, HTML, CSS, Design Systems, Wireframing, User Interface Design, InVision",Rp 4.724.556
R045,F03,UX Designer,"UX Designer berfokus pada perancangan pengalaman pengguna yang intuitif, efisien, dan menyenangkan melalui pendekatan yang berbasis riset dan data. Aktivitas hariannya mencakup riset pengguna, pembuatan user journey map, perancangan prototipe interaktif, dan pengujian kegunaan untuk memvalidasi desain. Mereka memastikan setiap interaksi pengguna dengan produk terasa alami dan memenuhi kebutuhan nyata.","Figma, User Research, Prototyping, Usability Testing, Adobe XD, InVision, Wireframing, Information Architecture, Journey Mapping, Sketch",Rp 4.500.000
R046,F03,Product Designer,"Product Designer menggabungkan kemampuan UX dan UI untuk merancang produk digital secara holistik, dari konsep hingga antarmuka akhir yang siap dikembangkan. Pekerjaan hariannya meliputi riset pengguna, pembuatan wireframe dan prototipe di Figma, pengembangan design system, dan kolaborasi lintas tim dengan engineer dan product manager. Mereka menjadi pemilik pengalaman produk yang berorientasi pada pengguna dan tujuan bisnis.","Figma, Sketch, Prototyping, Adobe XD, CSS, User Research, Design Systems, InVision, Wireframing, Interaction Design",Rp 5.721.432
R047,F03,Graphic Designer,"Graphic Designer menciptakan elemen visual yang komunikatif dan menarik untuk kebutuhan branding, pemasaran, dan komunikasi perusahaan. Kegiatan hariannya mencakup desain materi promosi, identitas merek, layout publikasi menggunakan Adobe Photoshop, Illustrator, dan InDesign, serta kolaborasi dengan tim marketing. Kreativitas tinggi yang dipadu dengan sensitivitas tipografi dan teori warna menjadi fondasi keahlian seorang graphic designer.","Adobe Photoshop, Adobe Illustrator, InDesign, Typography, Color Theory, Figma, Canva, Brand Identity, Layout Design, Visual Composition",Rp 3.821.246
R048,F03,Motion Designer,"Motion Designer menciptakan animasi dan grafik bergerak yang menarik untuk konten digital, iklan, video promosi, dan antarmuka pengguna. Aktivitas hariannya meliputi pembuatan animasi menggunakan Adobe After Effects dan Cinema 4D, storyboarding, serta rendering visual yang memukau. Mereka menghadirkan dimensi gerak yang membuat komunikasi visual menjadi lebih hidup, dinamis, dan berkesan.","Adobe After Effects, Cinema 4D, Adobe Premiere Pro, Motion Graphics, Blender, Lottie, 2D/3D Animation, Storyboarding, Keyframing, Visual Effects",Rp 4.235.822
R049,F03,UX Researcher,"UX Researcher melakukan investigasi mendalam tentang perilaku, kebutuhan, dan motivasi pengguna untuk memberikan landasan data bagi keputusan desain produk. Pekerjaan hariannya mencakup perencanaan dan pelaksanaan riset kualitatif dan kuantitatif seperti wawancara pengguna, usability testing, survei, dan analisis heuristik. Temuan mereka menjadi panduan utama bagi tim desain dan produk dalam menciptakan pengalaman yang benar-benar relevan.","User Research, Usability Testing, Survey Design, Figma, Interview Techniques, Affinity Mapping, Heuristic Evaluation, Data Analysis, Journey Mapping, Prototype Testing",Rp 12.612.793
R050,F03,Illustrator,"Illustrator menciptakan karya visual orisinil berupa ilustrasi digital untuk keperluan penerbitan, branding, game, animasi, dan media digital lainnya. Kegiatan sehari-hari meliputi pembuatan ilustrasi karakter dan latar, kolaborasi dengan art director, serta pengerjaan revisi berdasarkan umpan balik klien menggunakan Procreate dan Adobe Illustrator. Kepiawaian dalam bercerita melalui gambar adalah ciri khas seorang illustrator profesional.","Adobe Illustrator, Procreate, Adobe Photoshop, Figma, Sketching, Typography, Digital Painting, Storyboarding, InDesign, Color Theory",Rp 9.222.260
R051,F03,3D Designer,"3D Designer menciptakan model dan aset tiga dimensi untuk kebutuhan game, animasi, arsitektur, dan visualisasi produk menggunakan software seperti Blender, Maya, dan ZBrush. Tugas hariannya meliputi pemodelan 3D, texturing, UV mapping, rigging, dan rendering akhir yang siap produksi. Perpaduan antara ketelitian teknis dan visi artistik menjadikan 3D Designer profil yang unik di industri kreatif.","Blender, 3ds Max, Maya, ZBrush, Cinema 4D, UV Mapping, Texturing, Substance Painter, Rendering, 3D Modeling",Rp 6.186.929
R052,F03,Game UI Designer,"Game UI Designer merancang antarmuka dan elemen visual interaktif dalam permainan, memastikan pemain dapat bernavigasi dan berinteraksi dengan game secara intuitif. Pekerjaan hariannya mencakup desain HUD, menu, ikon, dan elemen UI dalam Unity, serta kolaborasi dengan game designer dan programmer untuk implementasi yang mulus. Mereka menjembatani keindahan visual dengan kegunaan fungsional dalam ekosistem game.","Figma, Adobe XD, Unity UI, Game Interface Design, Wireframing, Prototyping, Typography, Adobe Photoshop, UX Principles, Sketch",Rp 5.000.000
R053,F03,Design System Designer,"Design System Designer membangun dan memelihara sistem desain terpusat yang memastikan konsistensi visual dan pengalaman pengguna di seluruh produk perusahaan. Kegiatan utamanya meliputi pengembangan komponen reusable di Figma, dokumentasi panduan desain, serta kolaborasi erat dengan tim engineering menggunakan Storybook. Mereka menjadi sumber kebenaran tunggal untuk standar desain yang digunakan seluruh tim produk.","Figma, Design Tokens, Storybook, Component Design, CSS, Documentation, Accessibility (WCAG), React, Collaboration, Pattern Libraries",Rp 5.000.000
