title,curriculum,course_url,level,duration
WageningenX: The Science of Beer,"Module 1: Production of Beer
In this two-week module you will learn everything about the production process of beer. You will explore different beer styles, be confronted with quality issues and make choices on beer logistics. ** Module 2: Raw materials of beer and cultivation practices
You will deepen your understanding on the raw materials of beer. You will find out how their cultivation and the environment influence each other. Module 3: Marketing of beer and cultural effects
You will explore how beers are marketed. After thismodule you will see through the marketing tricks that marketers use, and have knowledge of its impact on the image and culture of beer.

Module 4: Consumption of beer and health effects
** In this week you will follow the pathway that beer takes after it is consumed. You will form your own opinion on responsible drinking, by comparing both positive and negative effects on the human health.",https://www.edx.org/learn/beer/wageningen-university-research-the-science-of-beer?index=rv_product_summary&queryId=4450b8245d890bc3548229755e74fc33&position=1,,
UMD: Customer-Centric Enterprise: Scale Product Lifecycle Management,Week 1: Product Enterprise Operating Model Customer Centric Organizational Culture Customer Centric Enterprise Structure North Star Metric Framework Week 2:Product Portfolio Strategy Frameworks Product Portfolio Analysis Macro Strategy Models Targeted Strategy Models,https://www.edx.org/learn/enterprise-sales/the-university-of-maryland-college-park-customer-centric-enterprise-scale-product-lifecycle-management?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=1,,
WOBI: How to Influence the Consumer Behavior to Drive Sales by Jonah Berger,Module 1: An introduction to influence and consumer centricity Module 2: Moving from understanding to influence Module 3: Leveraging social currency Module 4: How to use triggers & emotion Module 5: Making your brand public and practical Module 6: Harnessing the power of Storytelling,https://www.edx.org/learn/business-administration/wobi-how-to-influence-the-consumer-behavior-to-drive-sales-by-jonah-berger?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=1,,
UMD: Project Management Principles,"Week 1: The first week kicks off with a powerful set of statistics about the number of project managers in the world, the growth rate of the need for project managers, and why project management is needed. The lesson will dive deeper into what industries rely on project managers and despite the different industries, there is a need for standards and best practices which come from the PMBOK® Guide. Week 2: The second week provides an overview of the concept of systems value delivery and gain insight and clarity around organizational viewpoint, different roles & functions of a project environment, internal and external factors that impact projects, and integration of products and product management.",https://www.edx.org/learn/project-management/the-university-of-maryland-college-park-project-management-principles?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=15,,
HP: !إدارة الرياضات الإلكترونية – العناصر والطرق,مقدمة في الرياضات الإلكترونية الوحدة 1: ما هي الرياضات الإلكترونية؟ الوحدة 2: وسائط الرياضات الإلكترونية الوحدة 3: ألعاب الرياضات الإلكترونية الشهيرة الوحدة 4: أنواع الرياضات الإلكترونية الوحدة 5: الرياضات الحقيقية مقابل الرياضات الإلكترونية النظام المتكامل وأصحاب المصلحة في الرياضات الإلكترونية الوحدة 6: النظام المتكامل للرياضات الإلكترونية,https://www.edx.org/learn/sports-business/hp-dr-lrydt-llktrwny-l-nsr-wltrq?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=19,,
HarvardX: CS50's Introduction to Computer Science,,https://www.edx.org/learn/computer-science/harvard-university-cs50-s-introduction-to-computer-science,,
EdinburghX: Introduction to Marketing,"Week 1: Role of Marketing Week 2: Consumers and Consumption Week 3: Segmentation, Targeting and Positioning Week 4: Designing Products and Services Week 5: Pricing and Channels Week 6: Communicating and Engaging",https://www.edx.org/learn/marketing/the-university-of-edinburgh-introduction-to-marketing?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=10,,
"DavidsonX, GalileoX: Intro to AI for Digital Marketing",Module 1: Introduction to AI in Digital Marketing Overview of AI in Marketing The Evolution of AI and Its Growing Role in Marketing Strategies Introduction to AI Concepts Relevant to Marketing Real-world Applications and Case Studies Considerations for Integrating AI into Marketing Strategies Module 2: Developing effective Prompts for AI in Digital Marketing Introduction to Generative AI in Digital Marketing,https://www.edx.org/learn/artificial-intelligence/davidson-and-galileo-intro-to-ai-for-digital-marketing?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=20,,
BabsonX: Marketing Fundamentals: Who Is Your Customer?,,https://www.edx.org/learn/marketing/babson-college-marketing-fundamentals-who-is-your-customer?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=6,,
WageningenX: Economics and Policies in a Biobased Economy,"Module 1: The Circular Bioeconomy and Policies In this module, you will be introduced to the economic importance of the circular bioeconomy and learn how to recognize the important driving factors. Module 2: From Precautionary Approach to CBA How can we measure these driving factors? Let’s learn about cost-benefit analysis (CBA), the precautionary approach, and the irreversibility effect. Module 3: Macro Modelling",https://www.edx.org/learn/economics/wageningen-university-research-economics-and-policies-in-a-biobased-economy?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=9,,
AlaskaX: Sport Business Foundations,"WEEK 1: Outline and segments of the sports industry Overview Overview History History Segments of the Industry
Facilities
Events Segments of the Industry Facilities Facilities Events Events",https://www.edx.org/learn/sports-business/university-of-alaska-fairbanks-sport-business-foundations?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=4,,
"BerkeleyX: English for Journalists, Part 1",,https://www.edx.org/learn/journalism/university-of-california-berkeley-english-for-journalists-part-1?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=24,,
AdelaideX: Marketing Essentials,,https://www.edx.org/learn/communication/university-of-adelaide-marketing-essentials?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=21,,
UBCx: Exploring Generative AI for Personalized User Experiences,"Module 1: Introduction to Generative AI and Personalization Welcome to the Course Overview of Generative AI: Concepts and Real-World Applications Case Scenario Examples of Real-World Applications Personalization in AI: Techniques, Benefits, and Challenges Combining Generative AI with Personalization Tools: Strategies and Best Practices Introduction to Generative AI and Personalization Quiz Exploring Generative AI Applications in Personalization Module 2:AI-Powered Workflow for Research, Analysis and Ethical Considerations",https://www.edx.org/learn/engineering/university-of-british-columbia-exploring-generative-ai-for-personalized-user-experiences?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=22,,
"OxfordX, SaidBusinessSchool: Marketing Psychology: How We Decide",Curriculum Not Found,https://www.edx.org/learn/business-management/university-of-oxford-marketing-psychology-how-we-decide?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=22,,
IIMBx: Consumer Behaviour,Week 1: Introduction to Consumer Behaviour Week 2: Segmentation and Brand Positioning Week 3: Consumer Decision Making Week 4: Perception Week 5: Learning Week 6: Consumer Behaviour in Practice,https://www.edx.org/learn/marketing/indian-institute-of-management-bangalore-consumer-behaviour?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=12,,
WOBI: Competing in a Customer-Centric World by Don Peppers,Module 1: Understanding the customer dimension Module 2: Customer experience is everything Module 3: Customer-centric marketing Module 4: Customer-centric selling Module 5: Customer-centric service Module 6: Winning through leadership,https://www.edx.org/learn/customer-centric-innovation/wobi-competing-in-a-customer-centric-world-by-don-peppers?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=14,,
State-Bank-of-India: Relationship Marketing Strategy for Financial Services,Week 1: “Relationship Marketing – The Realm & the Fundamentals” Week 2: “The Principle of Positive Relationship & Relationship Management Process” Week 3: “Managing Customer Defection. Implementing a Customer Reactivation Strategy to rekindle lost relationship” Week 4: “Customer Loyalty Stages & Loyalty Action Plan. Becoming a Loyalty Leader – A profitable aspect of Relationship Marketing” Week 5: “Creating a Customer-Centric Relationship Blueprint. Building and managing Customer Relationships”,https://www.edx.org/learn/banking/state-bank-of-india-relationship-marketing-strategy-for-financial-services?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=16,,
HP: The What and How of Esports Management!,Introduction to Esports Module 1: What is Esports Module 2: Esports Mediums Module 3: Popular Esports Gaming Module 4: Genres of Esports Module 5: Real Sports vs. Esports Esports Ecosystem and Stakeholders Module 6: Esports Ecosystem,https://www.edx.org/learn/sports-business/hp-the-what-and-how-of-esports-management?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=21,,
DartmouthX: Executing Breakthrough Innovations with the Three Box Solution,,https://www.edx.org/learn/innovation/dartmouth-college-executing-breakthrough-innovations-with-the-three-box-solution?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=10,,
GalileoX: Marketing your Android apps,"Lesson 1 Introduction to monetization Why and how to monetize your App How to monetize apps using subscription & in-App purchase How to monetize apps using Advertising Data from App Market Tools: Admob Showing Tools: Analytics Adwords, Facebook Lesson 2",https://www.edx.org/learn/android-development/universidad-galileo-marketing-your-android-apps?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=19,,
EPFLx: Find the right markets for your innovation - A tool for entrepreneurs and innovators for choosing which markets to play in,"Week 1- Introduction
Presenting the challenges of choosing which markets to play in, and the basic logic behind the Market Opportunity Navigator Week 2- How to generate your Market Opportunity Set
Presenting the first step of the Market Opportunity Navigator: how to apply Worksheet 1 to decouple your core abilities and to identify different applications for different sets of customers. The output is your Market Opportunity Set Week 3- How to evaluate your market opportunities
Presenting the second step of the Market Opportunity Navigator: how to apply Worksheet 2 to evaluate the Potential of a market opportunity and the Challenge associated with capturing its value. The output is your Attractiveness Map.",https://www.edx.org/learn/innovation/ecole-polytechnique-federale-de-lausanne-find-the-right-markets-for-your-innovation-a-tool-for-entrepreneurs-and-innovators-for-choosing-which-markets-to-play-in?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=8,,
UMD: Digital Marketing Analytics: Tools and Techniques,Curriculum Not Found,https://www.edx.org/learn/digital-marketing/the-university-of-maryland-college-park-digital-marketing-analytics-tools-and-techniques?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=4,,
BerkeleyX: Bridging Differences,Curriculum Not Found,https://www.edx.org/learn/sociology/university-of-california-berkeley-bridging-differences?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=3,,
BerkeleyX: Improving Workplace Climate,Curriculum Not Found,https://www.edx.org/learn/workplace-wellness/university-of-california-berkeley-improving-workplace-climate?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=5,,
IBM: Software Engineering Basics for Everyone,Curriculum Not Found,https://www.edx.org/learn/software-engineering/ibm-software-engineering-basics-for-everyone?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=18,Introductory,
ChalmersX: HI gen AI,"The course is divided into five modules: Module 1: What GenAI Can Do Today
Where you are introduced to the subject by getting an up-to-date view of what is possible and appropriate to do with these tools as well as reasonable expectations of them. Module 2: Learning With AI
Where you get a better understanding of how to use AI tools for lifelong learning. Focus is on competence development, enhancing engagement and higher order thinking instead of outsourcing the thinking. Module 3: Profession Specific Use Cases
Specialize in how to use AI tools within your profession. Choose between three different tracks: university staff, secondary-school teachers, and business professionals.",https://www.edx.org/learn/computer-science/chalmers-university-of-technology-hi-gen-ai?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=17,,
MITx: Supply Chain Design.,"MITx requires individuals who enroll in its courses on edX to abide by the terms of the edX honor code. MITx will take appropriate corrective action in response to violations of the edX honor code, which may include dismissal from the MITx course; revocation of any certificates received for the MITx course; or other remedies as circumstances warrant. No refunds will be issued in the case of corrective action for such violations. MITx MicroMasters Credential in Supply Chain Management The MITx MicroMasters Credential in Supply Chain Management is specifically designed and administered by MIT’s Center for Transportation & Logistics (CTL) to teach the critical skills needed to be successful in this exciting and growing field. In addition to being a standalone certificate demonstrating expertise in the field, students who complete all of the required courses and the final proctored exam will be qualified to apply to gain credit at MIT for the blended graduate master's degree program. In order to qualify for the MITx MicroMasters Credential in Supply Chain Management you need to earn a Verified Certificate in all of the required courses. When you register for a Verified Certificate you will also be granted access to additional practice problems, supplemental readings, and opportunities for increased interaction with the faculty and teaching staff. To learn more about the MITx MicroMasters Credential in Supply Chain Management, please visit https://micromasters.mit.edu/scm/ Who can take this course? Unfortunately, learners residing in one or more of the following countries or regions will not be able to register for this course: Iran, Cuba and the Crimea region of Ukraine. While edX has sought licenses from the U.S. Office of Foreign Assets Control (OFAC) to offer our courses to learners in these countries and regions, the licenses we have received are not broad enough to allow us to offer this course in all locations. edX truly regrets that U.S. sanctions prevent us from offering all of our courses to everyone, no matter where they live.",https://www.edx.org/learn/supply-chain-design/massachusetts-institute-of-technology-supply-chain-design,Advanced,
AWS: AWS Cloud Practitioner Essentials,"Module 1: Intro to Amazon Web Services (AWS) Benefits of the AWS Cloud Differences between on-demand delivery and cloud deployments Module 2: Compute in the Cloud Benefits of Amazon Elastic Compute Cloud (Amazon EC2) and Auto Scaling Overview of Elastic Load Balancing, Amazon Simple Notification Service (Amazon SNS), and Amazon Simple Queue Services (Amazon SQS)",https://www.edx.org/learn/amazon-web-services-aws/amazon-web-services-aws-cloud-practitioner-essentials?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=14,,
EdinburghX: Digital Marketing Strategy,Week 1: Why digital matters? Week 2: The impact of digital on product Week 3: The impact of digital on value proposition Week 4: Changes in technology a marketer has to be aware of Week 5: Digital policies Week 6: The persona and its journey Week 7: Competitor analysis Week 8: Final Project: Digital Marketing Strategy development,https://www.edx.org/learn/digital-marketing/the-university-of-edinburgh-digital-marketing-strategy?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=5,,
IIMBx: Services Marketing: Concepts & Applications,"Week 01: Fundamentals of Services Marketing What are Services, its Nature and characteristics, service encounter, consumer behavior, and strategic & tactical aspects of services marketing. Week 02: Service Product & Branding What is a Service Product, Concept of brand and its uses. Week 03: Price & Promotion of Services Pricing challenges, Pricing program, Revenue Management, Promotion mix, Promotion & Advertising strategies.",https://www.edx.org/learn/marketing/indian-institute-of-management-bangalore-services-marketing-concepts-applications?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=11,,
IIMBx: Cooperatives and Producer Companies,Overview Defining a Cooperative Cooperative Principles What is not a Cooperative? A Conversation Cooperatives outside India Why do we need Cooperatives?,https://www.edx.org/learn/social-science/indian-institute-of-management-bangalore-cooperatives-and-producer-companies?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=20,,
HarvardX: Exercising Leadership: Foundational Principles,"Introduction: Get on the Balcony 1 Identify the Work to Be Done 2 Lead With, Beyond, and Without Authority 3.1 Take Action: Think Politically 3.2 Take Action: Build Trust 3.3 Take Action: Orchestrate Conflict 4 Anchor Yourself Conclusion: Staying Alive",https://www.edx.org/learn/leadership/harvard-university-exercising-leadership-foundational-principles,,
State-Bank-of-India: Introduction to Sensory Marketing Strategy,"The course is structured in 5 Weeks Week 1 Evolution, Concept and Components of Sensory Marketing Week 2 The Art and Science of Sensory Marketing Week 3 Approach to Sensory Marketing and Branding Week 4 Sensory Marketing for Financial Services Week 5 Sensory Marketing Vignettes Final Evaluation",https://www.edx.org/learn/marketing-strategy/state-bank-of-india-introduction-to-sensory-marketing-strategy?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=18,,
UMD: Digital Customer Analytics,Curriculum Not Found,https://www.edx.org/learn/marketing-analytics/the-university-of-maryland-college-park-digital-customer-analytics?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=6,,
BabsonX: Customer Centric Marketing for Entrepreneurs,Curriculum Not Found,https://www.edx.org/learn/entrepreneurship/babson-college-customer-centric-marketing-for-entrepreneurs?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=9,,
ColumbiaX: Marketing Analytics,Week 1: Introduction to Marketing Analytics and Customer Analysis Week 2: Market Segmentation Week 3: Preference measurement Week 4: Consumer Choice Models Week 5: Customer Lifetime Value Week 6: New Product Decisions Week 7: New Product Decisions,https://www.edx.org/learn/marketing-analytics/columbia-university-marketing-analytics?index=rv_product_summary&queryId=4450b8245d890bc3548229755e74fc33&position=7,,
UBCx: Introduction to Marketing,,https://www.edx.org/learn/marketing/university-of-british-columbia-introduction-to-marketing?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=9,,
WBGx: eLearning Course for Digital Skills for ICT Entrepreneurs in FCV Countries,"Week 1: Background of the ETHOS Program Since 2015, Entrepreneurial Talents’ House of Opportunities and Supports (ETHOS) has been the brand name of the World Bank and The State University of New York in Korea (SUNY Korea), as a start-up support and training program for developing and Fragility, Conflict, and Violence (FCV) countries. The first In-person ETHOS Program demonstrated the power of digital technologies in the overall expansion of the ICT entrepreneurial sector, delivering funding opportunities for talented entrepreneurs from developing countries. As the ETHOS alumni have testified, the ETHOS program has successfully delivered knowledge, skill, and business connections to more than 50 new start-up companies from around the world.",https://www.edx.org/learn/entrepreneurship/world-bank-group-elearning-course-for-digital-skills-for-ict-entrepreneurs-in-fcv-countries?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=20,,
BerkeleyX: Real-World Applications of Economics,,https://www.edx.org/learn/economics/university-of-california-berkeley-real-world-applications-of-economics?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=14,,
UMD: Platform Product Development,Week 1: Data Modeling. A Primer of data modeling and business processing for your platform. Week 2: Testing and User Experience. Diving into the Low Code side of the user experience and application development. Week 3: Deployment Practices and Automation. How to ensure system stability and build automations productive to support your business transformation. Week 4: Data Source and Documentation. Providing the right messages back to the users in real-time and structuring your data will revolutionize how business is done.,https://www.edx.org/learn/computer-programming/the-university-of-maryland-college-park-platform-product-development?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=13,,
UMD: Online Advertising & Social Media,Curriculum Not Found,https://www.edx.org/learn/social-media-marketing/the-university-of-maryland-college-park-online-advertising-social-media?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=7,,
QueensX: Enterprise Selling,,https://www.edx.org/learn/enterprise-sales/queens-university-enterprise-selling?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=7,,
BerkeleyX: Empathy and Emotional Intelligence at Work,,https://www.edx.org/learn/business-administration/university-of-california-berkeley-empathy-and-emotional-intelligence-at-work?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=3,,
AdelaideX: Harnessing AI in Marketing and Communications,,https://www.edx.org/learn/communication/university-of-adelaide-harnessing-ai-in-marketing-and-communications?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=22,,
MITx: 创业102: 你能为客户做什么？,Curriculum Not Found,https://www.edx.org/learn/entrepreneurship/massachusetts-institute-of-technology-chuang-ye-102-ni-neng-wei-ke-hu-zuo-shi-yao?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=21,Introductory,
BerkeleyX: Writing for Social Justice,,https://www.edx.org/learn/social-justice/university-of-california-berkeley-writing-for-social-justice?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=8,,
EPFLx: Launching New Ventures,Curriculum Not Found,https://www.edx.org/learn/entrepreneurship/ecole-polytechnique-federale-de-lausanne-launching-new-ventures?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=7,,
"DavidsonX, GalileoX: AI Technology for Marketing Optimization","Module 1: Technology Behind the Tools Predictive Analytics in Marketing Real-Time Marketing Optimization Enhancing Marketing Communications with NLP AI and Neural Networks Module 2: Enhancing AI-Driven Marketing: Market Research, Copywriting, Email personalization and Social media scheduling Strategic AI Integration: From Selection to Impact in Digital Marketing",https://www.edx.org/learn/business-management/davidson-and-galileo-ai-technology-for-marketing-optimization?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=17,,
AdelaideX: Developing your Marketing Strategy,,https://www.edx.org/learn/business-management/university-of-adelaide-developing-your-marketing-strategy?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=24,,
HKPolyUx: Managing Marketing in the Hospitality and Tourism Industry,"Week 1: Introduction
Introducing the course, marketing theories and concepts within the context of hospitality and tourism industry.
Examining the changing hospitality and tourism environment, and discussing its impacts on and implications for the marketing of hospitality and tourism. Week 2: Strategic Marketing
Analyzing the relationship between consumers, practitioners, and policy makers, how it evolves over time, and the role of strategic marketing in hospitality and tourism. Week 3: Target Marketing, Branding, and Relationship Building
Reviewing the market targeting processes of segmentation, targeting, positioning and branding and understanding their applications in hospitality and tourism marketing. Learning about the relationship between service quality and human resources in marketing and the importance of managing customer relationships.",https://www.edx.org/learn/tourism-management/the-hong-kong-polytechnic-university-managing-marketing-in-the-hospitality-and-tourism-industry?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=16,,
MichiganX: Public Library Marketing and Public Relations,Weekly themes tentatively scheduled to cover: Introduction DIY Marketing Working effectively with a graphic designer Social media strategies Working with the press,https://www.edx.org/learn/marketing-strategy/the-university-of-michigan-public-library-marketing-and-public-relations?index=rv_product_summary&queryId=368583edfc10ee41869ac56ddae5eb14&position=18,,
IIMBx: Marketing Management,,https://www.edx.org/learn/marketing-management/indian-institute-of-management-bangalore-marketing-management?index=rv_product_summary&queryId=d5e953cb05ea1f8de944d5b9038491c9&position=13,,
BerkeleyX: Discrimination and Diversity in the Modern Workplace,Curriculum Not Found,https://www.edx.org/learn/dei-diversity-equity-inclusion/university-of-california-berkeley-discrimination-and-diversity-in-the-modern-workplace?index=rv_product_summary&queryId=6f0b45dd5074aad4a598b03fabc9c3a3&position=3,,
